yolo-obj
Learning Rate: 0.1, Momentum: 0.9, Decay: 0.0005
Loaded: 0.105496 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.054215, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.050550, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.018559, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.234001, Class: 0.195765, Obj: 0.001782, No Obj: 0.007008, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.052132, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.022031, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.096163, Class: 0.113954, Obj: 0.001044, No Obj: 0.009438, .5R: 0.000000, .75R: 0.000000,  count: 2
107: 4.177885, 4.732922 avg, 0.000013 rate, 2.677140 seconds, 3424 images
Loaded: 0.000099 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.051930, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.006763, Class: 0.974993, Obj: 0.002439, No Obj: 0.021937, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.009509, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.048996, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.202450, Class: 0.592814, Obj: 0.009791, No Obj: 0.017579, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.006650, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.049946, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.160413, Class: 0.500370, Obj: 0.004449, No Obj: 0.019448, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.194331, Class: 0.540016, Obj: 0.002926, No Obj: 0.007507, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.049129, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.017748, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.006746, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.049375, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.277914, Class: 0.770133, Obj: 0.025377, No Obj: 0.018038, .5R: 0.333333, .75R: 0.000000,  count: 3
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.006709, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.049702, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.113449, Class: 0.685893, Obj: 0.023421, No Obj: 0.017907, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.006887, .5R: -nan, .75R: -nan,  count: 0
